placeDcid,placeName,Date:Median_Income_Household,Value:Median_Income_Household,Source:Median_Income_Household
zip/10001,10001,2022,106509,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
zip/10002,10002,2022,43362,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
zip/10003,10003,2022,152863,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
zip/10004,10004,2022,232543,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
zip/10005,10005,2022,189886,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
zip/10006,10006,2022,204574,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
zip/10007,10007,2022,250001,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
zip/10009,10009,2022,83344,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
zip/10010,10010,2022,150288,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
zip/10011,10011,2022,145934,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
zip/10012,10012,2022,126890,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
zip/10013,10013,2022,150675,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
zip/10014,10014,2022,147267,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
zip/10016,10016,2022,145864,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
zip/10017,10017,2022,139964,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
zip/10018,10018,2022,149118,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
zip/10019,10019,2022,113335,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
zip/10021,10021,2022,149432,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
zip/10022,10022,2022,161236,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
zip/10023,10023,2022,151468,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
zip/10024,10024,2022,166994,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
zip/10025,10025,2022,106916,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
zip/10026,10026,2022,68831,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
zip/10027,10027,2022,63125,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
zip/10028,10028,2022,160244,https://www.census.gov/programs-surveys/acs/data/data-via-ftp.html
